title,company,location,source,job_type,seniority,is_remote,country,tech_stack
SDET Intern Mobile and DeFi,Token Metrics Inc.,"London,United Kingdom",web3.career,DeFi Engineer,Junior,False,UK,[]
SUMMER Marketing and Business Development Intern,Integra,Remote,web3.career,Marketing/Growth,Junior,True,Remote,[]
Intern Affiliate Influencer Marketing,Bitpanda,Remote,web3.career,Marketing/Growth,Junior,True,Remote,[]
Intern Marketing,Bitpanda,Remote,web3.career,Marketing/Growth,Junior,True,Remote,[]
Crypto Twitter Marketing Intern,Sei Labs,"New York,NY,United States",web3.career,Marketing/Growth,Junior,False,USA,[]
Junior Designer 100% remote,Tether,"Lisboa,Portugal",web3.career,Designer,Junior,False,Other,[]
Product Design Intern Summer 2026,Gemini,"New York,NY,United States",web3.career,Product Manager,Junior,False,USA,[]
Field Marketing Intern,Alliedglobalmarketing,Remote,web3.career,Marketing/Growth,Junior,True,Remote,
Junior Blockchain Engineer,Hatch Pros,United States,web3.career,Blockchain Developer,Junior,False,USA,
SDET Intern Mobile and DeFi,Token Metrics,"Austin,TX,United States",web3.career,DeFi Engineer,Junior,False,USA,
Junior HR Programs Specialist,Keyrock,"Brussels,Belgium",web3.career,Other,Junior,False,Other,
Crypto KOL Outreach Intern,BeInCrypto,Remote,web3.career,Other,Junior,True,Remote,
Product Design Intern Summer 2026,Nifty Gateway Studio,"New York,NY,United States",web3.career,Product Manager,Junior,False,USA,
Junior Brand Designer,Nifty Gateway Studio,"New York,NY,United States",web3.career,Designer,Junior,False,USA,
Junior FP A Analyst Digital Assets UK or EU Remote,Keyrock,"London,United Kingdom",web3.career,Research/Analyst,Junior,False,UK,
Junior Frontend Software Developer,Triton One,Remote,web3.career,Frontend Developer,Junior,True,Remote,
Senior Brand & Design Systems Lead,ZIGCHAIN,Remote,web3.career,Designer,Senior,True,Remote,[]
Senior Visual Designer,CoW DAO,Remote,web3.career,Designer,Senior,True,Remote,[]
Head of Growth & Capital Markets (TVL / AUM Lead),Tharwa,Remote,web3.career,Marketing/Growth,Lead,True,Remote,[]
Senior PR Manager Asia,Binance,"Tokyo,Japan",web3.career,Marketing/Growth,Senior,False,Japan,[]
Senior Growth Engagement Manager Crypto,Robinhood,"Ljubljana,Slovenia",web3.career,Marketing/Growth,Senior,False,Other,[]
QA Lead 100% remote,Tether,"Delhi,India",web3.career,QA/Testing,Lead,False,India,[]
Executive Escalation Analyst III,Coinbase,Remote,web3.career,Research/Analyst,Mid,True,Remote,[]
Consumer L D SME Trainer Lead Analyst,Coinbase,Remote,web3.career,Research/Analyst,Lead,True,Remote,[]
Senior Technical Business Analyst,Bcbgroup,Remote,web3.career,Research/Analyst,Senior,True,Remote,[]
Principal System and Solution Test Engineer,Zscaler,Remote,web3.career,QA/Testing,Senior,True,Remote,[]
Marketing Manager Lifecycle Margin Trading,Kraken,United States,web3.career,Marketing/Growth,Mid,False,USA,[]
Marketing Manager Lifecycle Futures Trading,Kraken,United States,web3.career,Marketing/Growth,Mid,False,USA,[]
Affiliate Marketing Manager,Polymarket,"New York,NY,United States",web3.career,Marketing/Growth,Mid,False,USA,[]
Affiliate Marketing Specialist CEE,Bitpanda,Remote,web3.career,Marketing/Growth,Mid,True,Remote,[]
Affiliate Marketing Specialist Nordics Benelux,Bitpanda,Remote,web3.career,Designer,Mid,True,Remote,[]
Software Engineer Manager Marketing,Bitmex,Remote,web3.career,Marketing/Growth,Mid,True,Remote,[]
Growth Marketer,Bitmex,Remote,web3.career,Marketing/Growth,Mid,True,Remote,[]
Marketing Assistant,Aztec,Remote,web3.career,Marketing/Growth,Mid,True,Remote,[]
Japan Marketing Manager Remote,"Manta Network, Powered by p0x labs","Tokyo,Japan",web3.career,Marketing/Growth,Mid,False,Japan,[]
Vice President of Marketing Growth,Limit Break,"Tokyo,Japan",web3.career,Marketing/Growth,Mid,False,Japan,[]
PR KOL Specialist APAC,Binance,South East Asia,web3.career,Marketing/Growth,Mid,False,Other,[]
Content Marketing Manager Remote 100% Worldwide,Bitfinex,"London,United Kingdom",web3.career,Marketing/Growth,Mid,False,UK,[]
